Current_State,Previous_State,Movers_Estimate
Georgia,Idaho,2056.0
Georgia,Illinois,9133.0
Georgia,Indiana,3422.0
Georgia,Iowa,1482.0
Georgia,Kansas,3418.0
Georgia,Kentucky,2671.0
Georgia,Louisiana,6264.0
Georgia,Maine,1141.0
Georgia,Maryland,6244.0
Georgia,Massachusetts,1739.0
Georgia,Michigan,3945.0
Georgia,Minnesota,2803.0
Georgia,Mississippi,3070.0
Georgia,Missouri,3814.0
Georgia,Montana,237.0
Georgia,Nebraska,506.0
Georgia,Nevada,2822.0
Georgia,New Hampshire,670.0
Georgia,New Jersey,6339.0
Georgia,New Mexico,2936.0
Georgia,New York,21998.0
Georgia,North Carolina,17310.0
Georgia,North Dakota,57.0
Georgia,Ohio,7590.0
Georgia,Oklahoma,2067.0
Georgia,Oregon,1060.0
Georgia,Pennsylvania,8763.0
Georgia,Rhode Island,1508.0
Georgia,South Carolina,16635.0
Georgia,South Dakota,771.0
Georgia,Tennessee,17332.0
Georgia,Texas,20923.0
Georgia,Utah,2184.0
Georgia,Vermont,0.0
Georgia,Virginia,6866.0
Georgia,Washington,6050.0
Georgia,West Virginia,1146.0
Georgia,Wisconsin,2649.0
Georgia,Wyoming,0.0
Hawaii,Alabama,346.0
Hawaii,Alaska,1135.0
Hawaii,Arizona,1932.0
Hawaii,Arkansas,152.0
Hawaii,California,11200.0
Hawaii,Colorado,3359.0
Hawaii,Connecticut,702.0
Hawaii,Delaware,277.0
Hawaii,District of Columbia,773.0
Hawaii,Florida,2061.0
Hawaii,Georgia,1276.0
Hawaii,Idaho,1042.0
Hawaii,Illinois,907.0
Hawaii,Indiana,0.0
Hawaii,Iowa,0.0
Hawaii,Kansas,243.0
Hawaii,Kentucky,489.0
Hawaii,Louisiana,1150.0
Hawaii,Maine,0.0
Hawaii,Maryland,2699.0
Hawaii,Massachusetts,182.0
Hawaii,Michigan,463.0
Hawaii,Minnesota,893.0
Hawaii,Mississippi,0.0
Hawaii,Missouri,996.0
Hawaii,Montana,111.0
Hawaii,Nebraska,0.0
Hawaii,Nevada,1393.0
Hawaii,New Hampshire,70.0
Hawaii,New Jersey,59.0
Hawaii,New Mexico,986.0
Hawaii,New York,1776.0
Hawaii,North Carolina,2816.0
Hawaii,North Dakota,0.0
